"Stofnun" "Ráðuneyti" "heimilisfang_stonunar" "N_HNIT_WGS84" "E_HNIT_WGS84" "HNITNUM"
"Hagstofa Íslands" "Forsætisráðuneyti" "Borgartúni 21a" 64.14625492 -21.90127698 10067540
"Ríkislögmaður" "Forsætisráðuneyti" "Hverfisgötu 6" 64.14724289 -21.93392836 10022341
"Skrifstofa forseta Íslands" "Forsætisráðuneyti" "Sóleyjargötu 1" 64.14264728 -21.93930021 10019330
"Umboðsmaður barna" "Forsætisráðuneyti" "Kringlunni 1" 64.1295454 -21.89878952 10013328
"Umboðsmaður barna" "Forsætisráðuneyti" "Kringlunni 1" 64.1298971 -21.89855913 10093709
"Kærunefnd útlendingamála" "Dómsmálaráðuneyti" "Skúlagötu 17" 64.14559475 -21.91792214 10064098
"Landskjörstjórn" "Dómsmálaráðuneyti" "Sölvhólsgötu 7" 64.14864187 -21.93120657 10001587
"Neyðarlínan" "Dómsmálaráðuneyti" "Skógarhlíð 14" 64.13266338 -21.91851223 10017645
"Persónuvernd" "Dómsmálaráðuneyti" "Rauðarárstíg 10" 64.14264248 -21.91436558 10002819
"Sýslumaðurinn á höfuðborgarsvæðinu" "Dómsmálaráðuneyti" "Skógarhlíð 6" 64.13495495 -21.92198206 10017642
"Gæða- og eftirlitsstofnun velferðarmála" "Félags- og vinnumarkaðsráðuneyti" "Suðurlandsbraut 24" 64.1370568 -21.87670903 10022022
"Umboðsmaður skuldara" "Félags- og vinnumarkaðsráðuneyti" "Kringlunni 1" 64.1295454 -21.89878952 10013328
"Umboðsmaður skuldara" "Félags- og vinnumarkaðsráðuneyti" "Kringlunni 1" 64.1298971 -21.89855913 10093709
"Úrskurðarnefnd velferðarmála" "Félags- og vinnumarkaðsráðuneyti" "Katrínartúni 2" 64.14493362 -21.90735714 10109957
"Vinnueftirlit ríkisins" "Félags- og vinnumarkaðsráðuneyti" "Dvergshöfða 2" 64.12666886 -21.82309443 10100098
"Þjónustu- og þekkingarmiðstöð fyrir blinda, sjónskerta og
daufblinda einstaklinga" "Félags- og vinnumarkaðsráðuneyti" "Hamrahlíð 17" 64.13164603 -21.90781318 10012353
"Áfengis- og tóbaksverslun ríkisins" "Fjármála- og efnahagsráðuneyti" "Stuðlahálsi 2" 64.11982352 -21.79209841 10021865
"Áfengis- og tóbaksverslun ríkisins" "Fjármála- og efnahagsráðuneyti" "Stuðlahálsi 2" 64.11901661 -21.79203736 10090380
"Áfengis- og tóbaksverslun ríkisins" "Fjármála- og efnahagsráðuneyti" "Stuðlahálsi 2" 64.11835089 -21.7939627 10097328
"Bankasýsla ríkisins" "Fjármála- og efnahagsráðuneyti" "Borgartúni 3" 64.14535495 -21.91076543 10007620
"Framkvæmdasýslan - Ríkiseignir" "Fjármála- og efnahagsráðuneyti" "Borgartúni 26" 64.14571297 -21.89829977 10007631
"Ríkiskaup" "Fjármála- og efnahagsráðuneyti" "Borgartúni 7" 64.14550057 -21.90843641 10007622
"Ríkisskattstjóri" "Fjármála- og efnahagsráðuneyti" "Laugavegi 166" 64.14218635 -21.90489985 10018270
"Yfirskattanefnd" "Fjármála- og efnahagsráðuneyti" "Borgartúni 21" 64.14626642 -21.90244853 10067539
"Yfirskattanefnd" "Fjármála- og efnahagsráðuneyti" "Borgartúni 21" 64.14656452 -21.90106275 10007627
"Fjarskiptastofa" "Háskóla-, iðnaðar- og nýsköpunarráðuneyti" "Suðurlandsbraut 4" 64.1397912 -21.88639011 10076703
"Háskóli Íslands" "Háskóla-, iðnaðar- og nýsköpunarráðuneyti" "Sæmundargötu 2" 64.14051563 -21.94930091 10021975
"Menntasjóður námsmanna" "Háskóla-, iðnaðar- og nýsköpunarráðuneyti" "Borgartúni 21" 64.14626642 -21.90244853 10067539
"Menntasjóður námsmanna" "Háskóla-, iðnaðar- og nýsköpunarráðuneyti" "Borgartúni 21" 64.14656452 -21.90106275 10007627
"Nýsköpunarsjóður atvinnulífsins" "Háskóla-, iðnaðar- og nýsköpunarráðuneyti" "Kringlunni 7" 64.13138941 -21.89702164 10013331
"Rannsóknamiðstöð Íslands" "Háskóla-, iðnaðar- og nýsköpunarráðuneyti" "Borgartúni 30" 64.14566536 -21.89574474 10079209
"Embætti landlæknis" "Heilbrigðisráðuneyti" "Barónsstíg 47" 64.14104228 -21.92200583 10006839
"Geislavarnir ríkisins" "Heilbrigðisráðuneyti" "Rauðarárstíg 10" 64.14264248 -21.91436558 10002819
"Heilsugæsla höfuðborgarsvæðisins" "Heilbrigðisráðuneyti" "Álfabakka 16" 64.10915445 -21.8433261 10069118
"Heyrnar- og talmeinastöð Íslands" "Heilbrigðisráðuneyti" "Háaleitisbraut 1" 64.13890072 -21.89564331 10008393
"Landspítali" "Heilbrigðisráðuneyti" "Eiríksgötu 5" 64.14058533 -21.92609096 10008736
"Lyfjastofnun" "Heilbrigðisráðuneyti" "Vínlandsleið 14" 64.13036348 -21.76552273 10153199
"Sjúkratryggingar Íslands" "Heilbrigðisráðuneyti" "Vínlandsleið 16" 64.13006401 -21.7642802 10092106
"Húsnæðis- og mannvirkjastofnun" "Innviðaráðuneyti" "Borgartúni 21" 64.14626642 -21.90244853 10067539
"Húsnæðis- og mannvirkjastofnun" "Innviðaráðuneyti" "Borgartúni 21" 64.14656452 -21.90106275 10007627
"Samgöngustofa" "Innviðaráðuneyti" "Ármúla 2" 64.1377256 -21.88775704 10011142
"Vegagerðin" "Innviðaráðuneyti" "Borgartúni 5" 64.14537547 -21.91019179 10069126
"Þjóðskrá Íslands" "Innviðaráðuneyti" "Borgartúni 21" 64.14626642 -21.90244853 10067539
"Þjóðskrá Íslands" "Innviðaráðuneyti" "Borgartúni 21" 64.14656452 -21.90106275 10007627
"Hafrannsóknastofnun - rannsókna- og ráðgjafastofnun hafs
og vatna" "Matvælaráðuneyti" "Skúlagötu 4" 64.14888063 -21.93003449 10017749
"Fjölmiðlanefnd" "Menningar- og viðskiptaráðuneyti" "Borgartúni 21" 64.14626642 -21.90244853 10067539
"Fjölmiðlanefnd" "Menningar- og viðskiptaráðuneyti" "Borgartúni 21" 64.14656452 -21.90106275 10007627
"Íslenski dansflokkurinn" "Menningar- og viðskiptaráðuneyti" "Listabraut 3" 64.12906541 -21.89648998 10013329
"Kvikmyndamiðstöð Íslands" "Menningar- og viðskiptaráðuneyti" "Hverfisgötu 54" 64.14569503 -21.92595777 10022372
"Landsbókasafn Íslands" "Menningar- og viðskiptaráðuneyti" "Arngrímsgötu 3" 64.14293626 -21.95081408 10008107
"Landskerfi bókasafna hf." "Menningar- og viðskiptaráðuneyti" "Katrínartúni 2" 64.14493362 -21.90735714 10109957
"Listasafn Íslands" "Menningar- og viðskiptaráðuneyti" "Fríkirkjuvegi 7" 64.14410766 -21.93923672 10010771
"Neytendastofa" "Menningar- og viðskiptaráðuneyti" "Borgartúni 21" 64.14626642 -21.90244853 10067539
"Neytendastofa" "Menningar- og viðskiptaráðuneyti" "Borgartúni 21" 64.14656452 -21.90106275 10007627
"Ríkisútvarpið" "Menningar- og viðskiptaráðuneyti" "Efstaleiti 1" 64.12539801 -21.89129656 10008509
"Samskiptamiðstöð heyrnarlausra og heyrnarskertra" "Menningar- og viðskiptaráðuneyti" "Grensásvegi 9" 64.13164825 -21.87324716 10011524
"Samkeppniseftirlitið" "Menningar- og viðskiptaráðuneyti" "Borgartúni 26" 64.14571297 -21.89829977 10007631
"Sinfóníuhljómsveit Íslands" "Menningar- og viðskiptaráðuneyti" "Austurbakka 2" 64.15019917 -21.93270758 10147909
"Stofnun Árna Magnússonar í íslenskum fræðum" "Menningar- og viðskiptaráðuneyti" "Sturlugötu 1" 64.13888641 -21.95133985 10090352
"Þjóðleikhúsið" "Menningar- og viðskiptaráðuneyti" "Lindargötu 7" 64.14764639 -21.93025754 10018417
"Þjóðminjasafn Íslands" "Menningar- og viðskiptaráðuneyti" "Suðurgötu 41" 64.1419595 -21.94816146 10072906
"Þjóðskjalasafn Íslands" "Menningar- og viðskiptaráðuneyti" "Laugavegi 162" 64.14241608 -21.90821404 10090396
"Þjóðskjalasafn Íslands" "Menningar- og viðskiptaráðuneyti" "Laugavegi 162" 64.14213044 -21.90755682 10093725
"Þjóðskjalasafn Íslands" "Menningar- og viðskiptaráðuneyti" "Laugavegi 162" 64.14264242 -21.90806185 10093726
"Þjóðskjalasafn Íslands" "Menningar- og viðskiptaráðuneyti" "Laugavegi 162" 64.14226031 -21.90652706 10018267
"Borgarholtsskóli" "Mennta- og barnamálaráðuneyti" "Mosavegi 15" 64.14955265 -21.78322075 10003701
"Fjölbrautaskólinn í Breiðholti" "Mennta- og barnamálaráðuneyti" "Austurbergi 5" 64.10611749 -21.81829439 10007389
"Fjölbrautaskólinn við Ármúla" "Mennta- og barnamálaráðuneyti" "Ármúla 12" 64.13760212 -21.88362451 10006721
